Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-900000000401		SUB-900000000401		Substance	Active	eService Production	creator		51287-83-3	Dibutyltin bis(lauryl β-mercaptopropionate)		D/P												
Substance	SUB-900000000402		SUB-900000000402		Substance	Active	eService Production	creator		51580-86-0	Troclosene sodium; Sodium dichloroisocyanurate dihydrate		D/P												
Substance	SUB-900000000403		SUB-900000000403		Substance	Active	eService Production	creator		51584-26-0	1,3-Dibromo-1-fluoropropane		P												
Substance	SUB-900000000404		SUB-900000000404		Substance	Active	eService Production	creator		52315-07-8	Zeta-cypermethrin 		D/P												
Substance	SUB-900000000405		SUB-900000000405		Substance	Active	eService Production	creator		52427-13-1	4-(1-Ethyl-1-methylhexyl)phenol		D												
Substance	SUB-900000000406		SUB-900000000406		Substance	Active	eService Production	creator		52-51-7	Bronopol; 2-bromo-2-nitropropane-1,3-diol		D/P												
Substance	SUB-900000000407		SUB-900000000407		Substance	Active	eService Production	creator		52645-53-1	Permethrin; m-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate		D/P												
Substance	SUB-900000000408		SUB-900000000408		Substance	Active	eService Production	creator		52918-63-5	Deltamethrin; (S)-a-cyano-3-phenoxybenzyl (1R, 3R)-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate		D/P												
Substance	SUB-900000000409		SUB-900000000409		Substance	Active	eService Production	creator		52956-82-8	2-Propenoic acid,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,14,14,14-tetracosafluoro-13-(trifluoromethyl)tetradecyl ester		D												
Substance	SUB-900000000410		SUB-900000000410		Substance	Active	eService Production	creator		53202-61-2	Dibutyltin bis(2-ethylhexyl-3-mercaptopropionate)		D/P												
Substance	SUB-900000000411		SUB-900000000411		Substance	Active	eService Production	creator		5326-00-1	Mercury, bromo[1-(methoxyphenylmethyl)-2-oxo-2-[(1,7,7-trimethylbicyclo[2.2.1]hept-2-yl)oxy]ethyl]-		D/P												
Substance	SUB-900000000412		SUB-900000000412		Substance	Active	eService Production	creator		53692-43-6	Propane, 3-bromo-1,1,1,2,3-pentafluoro-, (R*,S*)- (9CI)		P												
Substance	SUB-900000000413		SUB-900000000413		Substance	Active	eService Production	creator		53692-44-7	Propane, 3-bromo-1,1,1,2,3-pentafluoro-, (R*,R*)- (9CI)		P												
Substance	SUB-900000000414		SUB-900000000414		Substance	Active	eService Production	creator		5395-50-6	Tetrahydro-1,3,4,6-tetrakis(hydroxymethyl)imidazo[4,5-d]imidazole-2,5(1H,3H)-dione		D/P												
Substance	SUB-900000000415		SUB-900000000415		Substance	Active	eService Production	creator		53988-10-6	1,3-dihydro-4(or 5)-methyl-2H-benzimidazole-2-thione		D												
Substance	SUB-900000000416		SUB-900000000416		Substance	Active	eService Production	creator		54068-28-9	Dioctylbis(pentane-2,4-dionato-O,O')tin		D/P												
Substance	SUB-900000000417		SUB-900000000417		Substance	Active	eService Production	creator		54077-16-6	C.I. Disperse Yellow 56		D/P												
Substance	SUB-900000000418		SUB-900000000418		Substance	Active	eService Production	creator		5413-75-2	C.I. Solvent Red 69, C.I.27290		D/P												
Substance	SUB-900000000419		SUB-900000000419		Substance	Active	eService Production	creator		5421-66-9	C.I. Basic Brown 4, C.I.21010		D/P												
Substance	SUB-900000000420		SUB-900000000420		Substance	Active	eService Production	creator		5436-43-1	2,2',4,4'-tetrabromodiphenyl ether		P												
