Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		104147-32-2		creator	D												
Substance					Substance	Active	eService Production	creator		10415-75-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		104325-07-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		104325-08-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		104335-53-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		104339-46-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		104-40-5		creator	D												
Substance					Substance	Active	eService Production	creator		10451-12-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		104-59-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		104-60-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		10476-82-1		creator	D												
Substance					Substance	Active	eService Production	creator		104815-53-4		creator	D												
Substance					Substance	Active	eService Production	creator		10534-86-8		creator	D												
Substance					Substance	Active	eService Production	creator		10534-89-1		creator	D												
Substance					Substance	Active	eService Production	creator		105841-28-9		creator	D												
Substance					Substance	Active	eService Production	creator		10584-98-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		10588-01-9		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		10595-95-6		creator	D												
Substance					Substance	Active	eService Production	creator		106264-79-3		creator	D												
Substance					Substance	Active	eService Production	creator		106316-55-6		creator	D												
Substance					Substance	Active	eService Production	creator		106-50-3		creator	D												
Substance					Substance	Active	eService Production	creator		1066-44-0		creator	P												
Substance					Substance	Active	eService Production	creator		1066-45-1		creator	P												
Substance					Substance	Active	eService Production	creator		1067-14-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		1067-33-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		1067-52-3		creator	P												
Substance					Substance	Active	eService Production	creator		1067-55-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		1067-97-6		creator	P												
Substance					Substance	Active	eService Production	creator		1068-61-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		106-89-8		creator	D												
Substance					Substance	Active	eService Production	creator		106-99-0		creator	D												
Substance					Substance	Active	eService Production	creator		107-13-1		creator	D												
Substance					Substance	Active	eService Production	creator		1072-35-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		107-26-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		107-27-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		108-07-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		108-18-9		creator	D												
Substance					Substance	Active	eService Production	creator		108-45-2		creator	D												
Substance					Substance	Active	eService Production	creator		108662-83-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		108818-89-9		creator	D												
Substance					Substance	Active	eService Production	creator		108-88-3		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		108-95-2		creator	D												
Substance					Substance	Active	eService Production	creator		109-62-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		109707-90-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		109-86-4		creator	P												SVHC
Substance					Substance	Active	eService Production	creator		109-89-7		creator	D												
Substance					Substance	Active	eService Production	creator		109-95-5		creator	D												
Substance					Substance	Active	eService Production	creator		110-46-3		creator	D												
Substance					Substance	Active	eService Production	creator		110-49-6		creator	D												
Substance					Substance	Active	eService Production	creator		110587-14-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		110-71-4		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		11077-19-3		creator	D												
Substance					Substance	Active	eService Production	creator		110-80-5		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		11083-41-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		110-89-4		creator	D												
Substance					Substance	Active	eService Production	creator		110-91-8		creator	D												
Substance					Substance	Active	eService Production	creator		11096-82-5		creator	P												
Substance					Substance	Active	eService Production	creator		11097-69-1		creator	P												
