Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-900000000201		SUB-900000000201		Substance	Active	eService Production	creator		1996-88-9	8:2 Fluorotelomer methacrylate, 2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester		D												
Substance	SUB-900000000202		SUB-900000000202		Substance	Active	eService Production	creator		20018-09-1	P-[(diiodomethyl)sulphonyl]toluene		D												
Substance	SUB-900000000203		SUB-900000000203		Substance	Active	eService Production	creator		20427-59-2	Copper dihydroxide; Copper (II) hydroxide; Copper hydroxide		D												
Substance	SUB-900000000204		SUB-900000000204		Substance	Active	eService Production	creator		20427-84-3	2-(2-(4-Nonylphenoxy)ethoxy)ethanol		D												
Substance	SUB-900000000205		SUB-900000000205		Substance	Active	eService Production	creator		2043-54-1	C10-2 telomer B iodide:  		D												
Substance	SUB-900000000206		SUB-900000000206		Substance	Active	eService Production	creator		2050-47-7	Dibromodiphenyl ether		P												
Substance	SUB-900000000207		SUB-900000000207		Substance	Active	eService Production	creator		2052-07-5	2-bromobiphenyl		P												
Substance	SUB-900000000208		SUB-900000000208		Substance	Active	eService Production	creator		206-44-0 	Fluoranthene		D												
Substance	SUB-900000000209		SUB-900000000209		Substance	Active	eService Production	creator		206886-57-9	Cyclotetrasiloxane, 2-(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoroundecyl)-2,4,6,8-tetramethyl-, Si-[3-(oxiranylmethoxy)propyl] derivs 		D												
Substance	SUB-900000000210		SUB-900000000210		Substance	Active	eService Production	creator		207122-15-4	2,2',4,4',5,6'-hexabromodiphenyl ether		P												
Substance	SUB-900000000211		SUB-900000000211		Substance	Active	eService Production	creator		207122-16-5	2,2',3,4,4',5',6-Heptabromodiphenyl ether		P												
Substance	SUB-900000000212		SUB-900000000212		Substance	Active	eService Production	creator		207678-51-1	Heptanoic acid, 2,3,3,4,4,5,5,6,6,7,7,7-dodecafluoro-2-(trifluoromethyl)-		D												
