Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-9000000000039		SUB-9000000000039		Substance	Active	eService Production	creator		118658-98-3	C.I. Basic Red 111		D/P												
Substance	SUB-9000000000040		SUB-9000000000040		Substance	Active	eService Production	creator		118685-33-9	Trisodium bis(6-(4-anisidino)-3-sulfonato-2-(3,5-dinitro-2-oxidophenylazo)-1-naphtholato)chromate(1-)		P												
Substance	SUB-9000000000041		SUB-9000000000041		Substance	Active	eService Production	creator		118-82-1	Phenol, 4,4'-methylenebis[2,6-bis(1,1-dimethylethyl)-		D												
Substance	SUB-9000000000042		SUB-9000000000042		Substance	Active	eService Production	creator		1192-52-5	4,5-dichloro-3H-1,2-dithiol-3-one		D/P												
Substance	SUB-9000000000043		SUB-9000000000043		Substance	Active	eService Production	creator		1192593-79-5	Hexanoic acid, 2,2,3,3,5,5,6,6,6-nonafluoro-4,4-bis(trifluoromethyl)-		D												
Substance	SUB-9000000000044		SUB-9000000000044		Substance	Active	eService Production	creator		1195164-59-0	Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2-pentafluoroethyl)-, sodium salt (1:1)		D												
Substance	SUB-9000000000045		SUB-9000000000045		Substance	Active	eService Production	creator		119-61-9	Benzophenone		D												
Substance	SUB-9000000000046		SUB-9000000000046		Substance	Active	eService Production	creator		120068-37-3	Fipronil; 5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfinyl]-1H-pyrazole-3-carbonitrile		D/P												
Substance	SUB-9000000000047		SUB-9000000000047		Substance	Active	eService Production	creator		12008-41-2	Disodium octaborate, anhydrous		D												
Substance	SUB-9000000000048		SUB-9000000000048		Substance	Active	eService Production	creator		1201677-32-8	Bis(pentabromophenyl) ether (decabromodiphenyl ether) (DecaBDE)		P												
Substance	SUB-9000000000049		SUB-9000000000049		Substance	Active	eService Production	creator		12044-79-0	Arsino thioxo		D												
Substance	SUB-9000000000050		SUB-9000000000050		Substance	Active	eService Production	creator		120-54-7	Piperidine, 1,1'-(tetrathiodicarbonothioyl)bis-		D												
Substance	SUB-9000000000051		SUB-9000000000051		Substance	Active	eService Production	creator		12057-74-8	Magnesium phosphide; Trimagnesium diphosphide		D/P												
Substance	SUB-9000000000052		SUB-9000000000052		Substance	Active	eService Production	creator		12069-69-1	Copper carbonate hydroxide; Basic Copper carbonate; Copper (II) carbonate--copper (II) hydroxide (1:1)		D												
Substance	SUB-9000000000053		SUB-9000000000053		Substance	Active	eService Production	creator		120-78-5	2,2'-Dithiobis(benzothiazole)		D												
Substance	SUB-9000000000054		SUB-9000000000054		Substance	Active	eService Production	creator		12124-97-9	Ammonium bromide		D/P												
Substance	SUB-9000000000055		SUB-9000000000055		Substance	Active	eService Production	creator		122-14-5	Fenitrothion; O,O-dimethyl O-4-nitro-m-tolyl phosphorothioate		D/P												
Substance	SUB-9000000000056		SUB-9000000000056		Substance	Active	eService Production	creator		12217-14-0	C.I. Acid Black 29		D/P												
Substance	SUB-9000000000057		SUB-9000000000057		Substance	Active	eService Production	creator		122-18-9	Cetalkonium chloride		D/P												
Substance	SUB-9000000000058		SUB-9000000000058		Substance	Active	eService Production	creator		122-19-0	Benzyldimethyl(octadecyl)ammonium chloride		D/P												
Substance	SUB-9000000000059		SUB-9000000000059		Substance	Active	eService Production	creator		12219-01-1	C.I. Acid Black 131		D/P												
Substance	SUB-9000000000060		SUB-9000000000060		Substance	Active	eService Production	creator		12219-02-2	C.I. Acid  Black 132		D/P												
Substance	SUB-9000000000061		SUB-9000000000061		Substance	Active	eService Production	creator		12221-66-8	C.I. Basic Red 42		D/P												
Substance	SUB-9000000000062		SUB-9000000000062		Substance	Active	eService Production	creator		12222-02-5	C.I. Direct Blue 160		D/P												
Substance	SUB-9000000000063		SUB-9000000000063		Substance	Active	eService Production	creator		12227-67-7	C.I. Basic Yellow 82		D/P												
Substance	SUB-9000000000064		SUB-9000000000064		Substance	Active	eService Production	creator		12235-72-2	C.I. Direct Blue 173		D/P												
Substance	SUB-9000000000065		SUB-9000000000065		Substance	Active	eService Production	creator		122402-79-3	Poly(oxy-1,2-ethanediyl), .alpha.-(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-hydroxyundecyl)-.omega.-[(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-hydroxyundecyl)oxy]-		D												
Substance	SUB-9000000000066		SUB-9000000000066		Substance	Active	eService Production	creator		122453-73-0	Chlorfenapyr; 4-Bromo-2-(4-chlorophenyl)-1-ethoxymethyl-5-trifluoromethylpyrrole-3-carbonitrile		D/P												
Substance	SUB-9000000000067		SUB-9000000000067		Substance	Active	eService Production	creator		122-60-1	Phenyl Glycidyl Ether		D												
Substance	SUB-9000000000068		SUB-9000000000068		Substance	Active	eService Production	creator		12270-44-9	C.I. Disperse Orange 60		D/P												
Substance	SUB-9000000000069		SUB-9000000000069		Substance	Active	eService Production	creator		12280-03-4	Disodium octaborate tetrahydrate; Boron sodium oxide (B8Na2O13), tetrahydrate		D												
Substance	SUB-9000000000070		SUB-9000000000070		Substance	Active	eService Production	creator		1229-55-6	C.I. Solvent Red 1, C.I.12150		D/P												
Substance	SUB-9000000000071		SUB-9000000000071		Substance	Active	eService Production	creator		123-03-5	Cetylpyridinium chloride		D/P												
Substance	SUB-9000000000072		SUB-9000000000072		Substance	Active	eService Production	creator		123116-17-6	Isooctanoic acid, pentadecafluoro-		D												
Substance	SUB-9000000000073		SUB-9000000000073		Substance	Active	eService Production	creator		124-30-1	Octadecanamine		D												
Substance	SUB-9000000000074		SUB-9000000000074		Substance	Active	eService Production	creator		125476-71-3	Silicic acid (H4SiO4), disodium salt, reaction products with chlorotrimethylsilane and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-1-decanol		D												
